longitude,latitude,housing_median_age,room_per_house,total_rooms,beds_per_room,total_bedrooms,bedroom_per_house,population,households,median_income,median_house_value
-122.23,37.88,41,6.984126984126984,880,0.14659090909090908,129.0,1.0238095238095237,322,126,8.3252,452600
-122.22,37.86,21,6.238137082601054,7099,0.15579659106916466,1106.0,0.9718804920913884,2401,1138,8.3014,358500
-122.24,37.85,52,8.288135593220339,1467,0.12951601908657123,190.0,1.073446327683616,496,177,7.2574,352100
-122.25,37.85,52,5.8173515981735155,1274,0.18445839874411302,235.0,1.0730593607305936,558,219,5.6431,341300
-122.25,37.85,52,6.281853281853282,1627,0.1720958819913952,280.0,1.0810810810810811,565,259,3.8462,342200
-122.25,37.85,52,4.761658031088083,919,0.23177366702937977,213.0,1.1036269430051813,413,193,4.0368,269700
-122.25,37.84,52,4.9319066147859925,2535,0.19289940828402366,489.0,0.9513618677042801,1094,514,3.6591,299200
-122.25,37.84,52,4.797527047913447,3104,0.22132731958762886,687.0,1.061823802163833,1157,647,3.12,241400
-122.26,37.84,42,4.294117647058823,2555,0.2602739726027397,665.0,1.1176470588235294,1206,595,2.0804,226700
-122.25,37.84,52,4.970588235294118,3549,0.1992110453648915,707.0,0.9901960784313726,1551,714,3.6912,261100
-122.26,37.85,52,5.477611940298507,2202,0.19709355131698456,434.0,1.0796019900497513,910,402,3.2031,281500
-122.26,37.85,52,4.772479564032698,3503,0.2146731373108764,752.0,1.0245231607629428,1504,734,3.2705,241800
-122.26,37.85,52,5.322649572649572,2491,0.1902850260939382,474.0,1.0128205128205128,1098,468,3.075,213500
-122.26,37.84,52,4.0,696,0.2744252873563218,191.0,1.0977011494252873,345,174,2.6736,191300
-122.26,37.85,52,4.262903225806451,2643,0.23685206205069997,626.0,1.0096774193548388,1212,620,1.9167,159200
-122.26,37.85,50,4.242424242424242,1120,0.2526785714285714,283.0,1.071969696969697,697,264,2.125,140000
-122.27,37.85,52,5.9395770392749245,1966,0.17650050864699898,347.0,1.0483383685800605,793,331,2.775,152500
-122.27,37.85,52,4.052805280528053,1228,0.23859934853420195,293.0,0.966996699669967,648,303,2.1202,155500
-122.26,37.84,50,5.343675417661098,2239,0.20321572130415363,455.0,1.0859188544152745,990,419,1.9911,158700
